record_id,paper_title,author_list,journal_or_conf,pub_year,abstract,doi_link
dblp_00173,Discriminative Data Wrangling: A Survey,"Zhang, N. and Yamamoto, R.",TKDD,2005,We present a novel approach for discriminative data wrangling: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1173/tkdd.2005.00173
dblp_00002,Towards Parallel Graph Neural Networks,"Wilson, A. and White, P. and Müller, Y.",ICDE,2002,We study the problem of towards parallel graph neural networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1002/icde.2002.00002
dblp_00333,Discriminative Data Wrangling at Scale,"Zhang, N. and Yamamoto, R.",EDBT,2021,We introduce a new method for discriminative data wrangling at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1333/edbt.2021.00333
dblp_00409,Scalable Indexing: Challenges and Opportunities,"Cohen, S. and Rossi, R.",WWW,2001,This work addresses the problem of scalable indexing: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1409/www.2001.00409
dblp_00070,Text Classification with Generative Constraints,"Brown, M. and Dubois, T. and Thompson, A.",ICLR,2022,We present a novel approach for text classification with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1070/iclr.2022.00070
dblp_00209,Scalable Indexing Over Streaming Data,"Cohen, S. and Rossi, R.",KAIS,2017,This work addresses the problem of scalable indexing over streaming data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1209/kais.2017.00209
dblp_00063,Efficient LSH Hashing at Scale,"Wang, R. and Müller, Y. and Garcia, L. and Chen, S.",EDBT,2015,This work addresses the problem of efficient lsh hashing at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1063/edbt.2015.00063
dblp_00384,Dtaa Fusion in the Wild,"Johnson, K.",VLDBJ,2000,This work addresses the problem of data fusion in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1384/vldbj.2000.00384
dblp_00093,Discriminative Data Wrangling at Scale,"Zhang, N. and Yamamoto, R.",EDBT,2021,We introduce a new method for discriminative data wrangling at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1093/edbt.2021.00093
dblp_00485,A Context-Aware Framework for Collaborative Filtering,"Kim, E. and Thompson, A.",ICDM,2005,"In this paper, we propose a context-aware framework for collaborative filtering. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1485/icdm.2005.00485
dblp_00185,A Context-Aware Framework for Explainable AI,"Nguyen, M. and Thompson, A.",ICDM,2017,This work addresses the problem of a context-aware framework for explainable ai. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1185/icdm.2017.00185
dblp_00033,Discriminative Differential Privacy at Scale,"Johansson, N. and Yamamoto, R.",Int. Conf. on Extending Database Technology,2009,This work addresses the problem of discriminative differential privacy at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1033/edbt.2009.00033
dblp_00077,Towards Hybrid Column Stores,"O'Brien, O. and Petrov, M.",CIKM,2005,"In this paper, we propose towards hybrid column stores. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1077/cikm.2005.00077
dblp_00000,Query Processing: A Scalable Approach,"Smith, J.",VLDB,2000,This work addresses the problem of query processing: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1000/vldb.2000.00000
dblp_00011,Robust Trtuh Discovery for Social Networks,"Okonkwo, I. and Ferreira, E. and Johansson, N. and White, P.",CVPR,2011,We study the problem of robust truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1011/cvpr.2011.00011
dblp_00415,Knowledge Graph Embedding with Adaptive Constraints,"Anderson, E. and Brown, M. and Kim, E. and Dubois, T.",IS,2007,"In this paper, we propose knowledge graph embedding with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1415/is.2007.00415
dblp_00022,Improving Data Augmentation with Parallel Modles,"Ferreira, E. and White, P. and Yamamoto, R.",TODS,2022,We introduce a new method for improving data augmentation with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1022/tods.2022.00022
dblp_00072,Matrix Factorisation: From Theory to Practice,"Taylor, D.",ACL,2000,This work addresses the problem of matrix factorisation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1072/acl.2000.00072
dblp_00182,Towards Parallel Data Augmentation,"Ferreira, E. and White, P. and Yamamoto, R.",ICDE,2014,"In this paper, we propose towards parallel data augmentation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1182/icde.2014.00182
dblp_00131,Robust Truth Discovery for Scoial Networks,"Okonkwo, I. and Ferreira, E. and Johansson, N. and White, P.",CVPR,2011,We study the problem of robust truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1131/cvpr.2011.00131
dblp_00410,A Generative Framework for Stream Processing,"Thompson, A. and Dubois, T. and Brown, M.",WSDM,2002,We present a novel approach for a generative framework for stream processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1410/wsdm.2002.00410
dblp_00193,Learning-Based Differential Privacy,"Johansson, N. and Yamamoto, R.",EMNLP,2001,This work addresses the problem of learning-based differential privacy. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1193/emnlp.2001.00193
dblp_00055,Knowledge Graph Embedding with Adaptive Constraints,"Anderson, E. and Brown, M. and Kim, E. and Dubois, T.",IS,2007,"In this paper, we propose knowledge graph embedding with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1055/is.2007.00055
dblp_00148,Learning-Based Record Linkage,"Nakamura, D.",DMKD,2004,We study the problem of learning-based record linkage. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1148/dmkd.2004.00148
dblp_00018,Joint Approximate Nearest Neighbour at Sacle,"Rossi, R. and Martinez, J. and Silva, W.",SIGIR,2018,We present a novel approach for joint approximate nearest neighbour at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1018/sigir.2018.00018
dblp_00204,Topic Modelling in the Wild,"White, P.",VLDBJ,2012,We study the problem of topic modelling in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1204/vldbj.2012.00204
dblp_00078,Joint Causal Inference at Scale,"Thomas, P. and Martinez, J. and Petrov, M.",SIGIR,2006,We present a novel approach for joint causal inference at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1078/sigir.2006.00078
dblp_00494,Data Integration Over IoT Sensor Data,"Silva, W. and Nakamura, D. and Wilson, A.",NAACL,2014,We introduce a new method for data integration over iot sensor data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1494/naacl.2014.00494
dblp_00262,Improving Data Augmentation with Parallel Models,"Ferreira, E. and White, P. and Yamamoto, R.",TODS,2022,We introduce a new method for improving data augmentation with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1262/tods.2022.00262
dblp_00323,Efficient Relation Extraction: A Survey,"Fischer, S. and Müller, Y. and Cohen, S. and Chen, S.",TKDD,2011,We study the problem of efficient relation extraction: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1323/tkdd.2011.00323
dblp_00483,Efficient Relation Extraction at Scale,"Fischer, S. and Müller, Y. and Cohen, S. and Chen, S.",EDBT,2002,This work addresses the problem of efficient relation extraction at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1483/edbt.2003.00483
dblp_00079,Duplicate Detection: Challenges and Opportunities,"Sharma, A. and Thomas, P. and O'Brien, O. and Martinez, J.",WWW,2007,We study the problem of duplicate detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1079/www.2007.00079
dblp_00039,Duplicate Detection in the Wild,"Sharma, A. and Thomas, P. and O'Brien, O. and Martinez, J.",ICML,2015,We present a novel approach for duplicate detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1039/icml.2015.00039
dblp_00451,Truth Discovery for Social Networks,"Okonkwo, I. and Ferreira, E. and Johansson, N. and White, P.",SIGMOD,2019,We introduce a new method for truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1451/sigmod.2019.00451
dblp_00046,Time Series Forecasting for Heterogeneous Sources,"Müller, Y. and Chen, S. and Rossi, R.",IJCAI,2022,This work addresses the problem of time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1046/ijcai.2022.00046
dblp_00238,Learning-Based Causal Inference,"Thomas, P. and Martinez, J. and Petrov, M.",DMKD,2022,"In this paper, we propose learning-based causal inference. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1238/dmkd.2022.00238
dblp_00391,Dense Retrieval for Social Networks,"Kovacs, A. and Ferreira, E. and Zhang, N. and White, P.",SIGMOD,2007,We present a novel approach for dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1391/sigmod.2007.00391
dblp_00352,Improving Matrix Factorisation with Probabilistic Models,"Taylor, D.",TODS,2016,We introduce a new method for improving matrix factorisation with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1352/tods.2016.00352
dblp_00341,Robust Self-Supervised Learning for Financial Transactions,"Jackson, G. and Wilson, A.",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2005,We study the problem of robust self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1341/cvpr.2005.00341
dblp_00277,Improving Column Stores with Hybrid Models,"O'Brien, O. and Petrov, M.",SDM,2013,We study the problem of improving column stores with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1277/sdm.2013.00277
dblp_00290,A Generative Framework for Stream Processing,"Thompson, A. and Dubois, T. and Brown, M.",WSDM,2002,We present a novel approach for a generative framework for stream processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1290/wsdm.2002.00290
dblp_00317,Towards Hybrid Column Stores,"O'Brien, O. and Petrov, M.",CIKM,2005,"In this paper, we propose towards hybrid column stores. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1317/cikm.2005.00317
dblp_00304,Data Fusion: Challenges and Opportunities,"Johnson, K.",PODS,2016,This work addresses the problem of data fusion: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1304/pods.2016.00304
dblp_00268,Learning-Based Record Linkage,"Nakamura, D.",DMKD,2004,We study the problem of learning-based record linkage. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1268/dmkd.2004.00268
dblp_00069,Information Extraction in the Wild,"Garcia, L. and Rossi, R.",ICML,2021,We present a novel approach for information extraction in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1069/icml.2021.00069
dblp_00455,A Adaptive Framework for Knowledge Graph Embedding,"Anderson, E. and Brown, M. and Kim, E. and Dubois, T.",ICDM,2023,We present a novel approach for a adaptive framework for knowledge graph embedding. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1455/icdm.2023.00455
dblp_00465,Explainable AI: A Context-Aware Approach,"Nguyen, M. and Thompson, A.",AAAI Conf. on Artificial Intelligence,2009,We present a novel approach for explainable ai: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1465/aaai.2009.00465
dblp_00154,Contrastive Learning: Challenges and Opportunities,"Petrov, M. and Nakamura, D. and Ferreira, E.",PODS,2010,This work addresses the problem of contrastive learning: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1154/pods.2010.00154
dblp_00082,Improving Graph Neural Networks with Parallel Models,"Wilson, A. and White, P. and Müller, Y.",TODS,2009,We study the problem of improving graph neural networks with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1082/tods.2010.00082
dblp_00477,Column Stores: From Theory to Practice,"O'Brien, O. and Petrov, M.",AIJ,2021,We study the problem of column stores: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1477/aij.2021.00477
dblp_00172,Improving Data Cleaning with Probabilistic Models,"Chen, S.",TODS,2004,We introduce a new method for improving data cleaning with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1172/tods.2004.00172
dblp_00321,Schema Matching via Financial Transactions,"Lee, A. and Wilson, A.",TKDE,2009,We present a novel approach for schema matching via financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1321/tkde.2009.00321
dblp_00090,Stream Processing: A Generative Approach,"Thompson, A. and Dubois, T. and Brown, M.",VLDB,2018,We present a novel approach for stream processing: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1090/vldb.2018.00090
dblp_00180,Federated Learning: A Scalable Approach,"Dubois, T.",VLDB,2012,"In this paper, we propose federated learning: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1180/vldb.2012.00180
dblp_00414,Data Integration in the Wild,"Silva, W. and Nakamura, D. and Wilson, A.",VLDBJ,2006,"In this paper, we propose data integration in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1414/vldbj.2006.00414
dblp_00312,Matrix Factorisation: From Theory to Practice,"Taylor, D.",ACL,2000,This work addresses the problem of matrix factorisation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1312/acl.2000.00312
dblp_00278,Joint Causal Inference: A Survey,"Thomas, P. and Martinez, J. and Petrov, M.",NeurIPS,2014,We introduce a new method for joint causal inference: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1278/neurips.2014.00278
dblp_00381,Self-Supervised Learning via Financial Transactions,"Jackson, G. and Wilson, A.",TKDE,2021,We present a novel approach for self-supervised learning via financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1381/tkde.2021.00381
dblp_00472,Improving Matrix Factorisation with Probabilistic Models,"Taylor, D.",TODS,2016,We introduce a new method for improving matrix factorisation with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1472/tods.2016.00472
dblp_00362,Towards Parallel Graph Neural Networks,"Wilson, A. and White, P. and Müller, Y.",ICDE,2002,We study the problem of towards parallel graph neural networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1362/icde.2002.00362
dblp_00324,Topic Modelling in the Wild,"White, P.",VLDBJ,2012,We study the problem of topic modelling in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1324/vldbj.2012.00324
dblp_00431,Robust Dense Retrieval for Social Networks,"Kovacs, A. and Ferreira, E. and Zhang, N. and White, P.",CVPR,2023,"In this paper, we propose robust dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1431/cvpr.2023.00431
dblp_00347,Towards Semi-Supervised Entity Resolution,"Harris, M. and Silva, W. and Lee, A. and Nakamura, D.",CIKM,2011,We study the problem of towards semi-supervised entity resolution. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1347/cikm.2011.00347
dblp_00086,Robust Time Series Forecasting for Heterogeneous Sources,"Müller, Y. and Chen, S. and Rossi, R.",JMLR,2014,This work addresses the problem of robust time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1086/jmlr.2014.00086
dblp_00075,Weak Supervision: A Adaptive Approach,"Kumar, P. and Brown, M. and Nguyen, M. and Dubois, T.",AAAI,2003,We study the problem of weak supervision: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1075/aaai.2003.00075
dblp_00438,Joint Causal Inference at Scale,"Thomas, P. and Martinez, J. and Petrov, M.",SIGIR,2006,We present a novel approach for joint causal inference at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1438/sigir.2006.00438
dblp_00015,Knowledge Graph Embedding: A Adaptive Approach,"Anderson, E. and Brown, M. and Kim, E. and Dubois, T.",AAAI,2015,"In this paper, we propose knowledge graph embedding: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1015/aaai.2015.00015
dblp_00249,Scalable Indexing in the Wild,"Cohen, S. and Rossi, R.",ICML,2009,"In this paper, we propose scalable indexing in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1249/icml.2009.00249
dblp_00433,Learning-Based Differential Privacy,"Johansson, N. and Yamamoto, R.",Conf. on Empirical Methods in Natural Language Processing,2001,This work addresses the problem of learning-based differential privacy. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1433/emnlp.2001.00433
dblp_00019,Anomaly Detection: Challenges and Opportunities,"Patel, F. and Thomas, P. and Hernandez, J. and Martinez, J.",WWW,2019,We present a novel approach for anomaly detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1019/www.2019.00019
dblp_00322,Improving Graph Neural Networks with Parallel Models,"Wilson, A. and White, P. and Müller, Y.",TODS,2010,We study the problem of improving graph neural networks with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1322/tods.2010.00322
dblp_00332,Towards Probabilistic Data Cleaning,"Chen, S.",ICDE,2020,We study the problem of towards probabilistic data cleaning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1332/icde.2020.00332
dblp_00056,Robust Named Entity Recognition for Spatial Data,"Deng, C.",JMLR,2008,We study the problem of robust named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1056/jmlr.2008.00056
dblp_00301,Self-Supervised Learning for Financial Transactions,"Jackson, G. and Wilson, A.",SIGMOD,2013,We present a novel approach for self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1301/sigmod.2013.00301
dblp_00229,Information Extraction: Challenges and Opportunities,"Garcia, L. and Rossi, R.",WWW,2013,We introduce a new method for information extraction: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1229/www.2013.00229
dblp_00331,Truth Discovery for Social Networks,"Okonkwo, I. and Ferreira, E. and Johansson, N. and White, P.",SIGMOD,2019,We introduce a new method for truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1331/sigmod.2019.00331
dblp_00132,Data Cleaning: From Theory to Practice,"Chen, S.",ACL,2012,"In this paper, we propose data cleaning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1132/acl.2012.00132
dblp_00137,Towards Hybrid Sentiment Analysis,"Petrov, M. and Hernandez, J.",CIKM,2017,This work addresses the problem of towards hybrid sentiment analysis. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1137/cikm.2017.00137
