record_id,Title,Authors,Publication_Venue,Year,Abstract,DOI
acm_00266,Robust Data Profiling for Heterogeneous Sources,"R. Yamamoto, S. Chen, P. Thomas",Journal of Machine Learning Research,2002,"In this paper, we propose robust data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1266/jmlr.2002.00266
acm_00267,Entity Resolution: From Theory to Practice,"M. Harris, W. Silva, A. Lee, D. Nakamura",Artificial Intelligence,2003,We present a novel approach for entity resolution: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1267/aij.2003.00267
acm_00112,Improving Matrix Factorisation with Probabilistic Models,D. Taylor,ACM Transactions on Database Systems,2016,We introduce a new method for improving matrix factorisation with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1112/tods.2016.00112
acm_00062,Towards Parallel Data Augmentation,"E. Ferreira, P. White, R. Yamamoto",IEEE Int. Conf. on Data Engineering,2014,"In this paper, we propose towards parallel data augmentation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1062/icde.2014.00062
acm_00394,Contrastive Learning: Challenges and Opportunities,"M. Petrov, D. Nakamura, E. Ferreira",ACM Symposium on Principles of Database Systems,2009,This work addresses the problem of contrastive learning: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1394/pods.2010.00394
acm_00098,Joint Approximate Nearest Neighbour: A Survey,"R. Rossi, J. Martinez, W. Silva",Advances in Neural Information Processing Systems,2002,We introduce a new method for joint approximate nearest neighbour: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1098/neurips.2002.00098
acm_00239,Duplicate Detection Over Open Government Data,"A. Sharma, P. Thomas, O. O'Brien, J. Martinez",Knowledge and Information Systems,2023,We introduce a new method for duplicate detection over open government data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1239/kais.2023.00239
acm_00362,Towards Parallel Graph Neural Networks,"A. Wilson, P. White, Y. Müller",IEEE Int. Conf. on Data Engineering,2002,We study the problem of towards parallel graph neural networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1362/icde.2002.00362
acm_00393,Discriminative Differential Privacy at Scale,"N. Johansson, R. Yamamoto",Int. Conf. on Extending Database Technology,2009,This work addresses the problem of discriminative differential privacy at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1393/edbt.2009.00393
acm_00455,A Adaptive Framework for Knowledge Graph Embedding,"E. Anderson, M. Brown, E. Kim, T. Dubois",IEEE Int. Conf. on Data Mining,2023,We present a novel approach for a adaptive framework for knowledge graph embedding. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1455/icdm.2023.00455
acm_00491,Robust Truth Discovery for Social Networks,"I. Okonkwo, E. Ferreira, N. Johansson, P. White",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2011,We study the problem of robust truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1491/cvpr.2011.00491
acm_00342,Data Augmentation: From Theory to Practice,"E. Ferreira, P. White, R. Yamamoto",Annual Meeting of the Association for Computational Linguistics,2006,We introduce a new method for data augmentation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1342/acl.2006.00342
acm_00391,Dense Retrieval for Social Networks,"A. Kovacs, E. Ferreira, N. Zhang, P. White",ACM SIGMOD Int. Conf. Management of Data,2007,We present a novel approach for dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1391/sigmod.2007.00391
acm_00405,Collaborative Filtering: A Context-Aware Approach,"E. Kim, A. Thompson",AAAI Conf. on Artificial Intelligence,2021,This work addresses the problem of collaborative filtering: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1405/aaai.2021.00405
acm_00354,Contrastive Learning in the Wild,"M. Petrov, D. Nakamura, E. Ferreira",The VLDB Journal,2018,This work addresses the problem of contrastive learning in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1354/vldbj.2018.00354
acm_00071,Robust Dense Retrieval for Social Networks,"A. Kovacs, E. Ferreira, N. Zhang, P. White",CVPR,2023,"In this paper, we propose robust dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1071/cvpr.2023.00071
acm_00242,Towards Parallel Graph Neural Networks,"A. Wilson, P. White, Y. Müller",IEEE Int. Conf. on Data Engineering,2002,We study the problem of towards parallel graph neural networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1242/icde.2002.00242
acm_00375,Knowledge Graph Embedding: A Adaptive Approach,"E. Anderson, M. Brown, E. Kim, T. Dubois",AAAI Conf. on Artificial Intelligence,2015,"In this paper, we propose knowledge graph embedding: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1375/aaai.2015.00375
acm_00476,Robust Bloom Filters for Spatial Data,J. Martinez,Journal of Machine Learning Research,2020,"In this paper, we propose robust bloom filters for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1476/jmlr.2020.00476
acm_00170,A Generative Framework for Stream Processing,"A. Thompson, T. Dubois, M. Brown",ACM Int. Conf. on Web Search and Data Mining,2002,We present a novel approach for a generative framework for stream processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1170/wsdm.2002.00170
acm_00344,Data Fusion Over Web Data,K. Johnson,North American Chapter of the ACL,2008,We study the problem of data fusion over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1344/naacl.2008.00344
acm_00143,Efficient LSH Hashing: A Survey,"R. Wang, Y. Müller, L. Garcia, S. Chen",ACM Transactions on Knowledge Discovery from Data,2023,"In this paper, we propose efficient lsh hashing: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1143/tkdd.2023.00143
acm_00096,Named Entity Recognition via Spatial Data,C. Deng,ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2000,This work addresses the problem of named entity recognition via spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1096/kdd.2000.00096
acm_00038,Joint Causal Inference: A Survey,"P. Thomas, J. Martinez, M. Petrov",Advances in Neural Information Processing Systems,2014,We introduce a new method for joint causal inference: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1038/neurips.2014.00038
acm_00020,A Scalable Framework for Federated Learning,T. Dubois,ACM Int. Conf. on Web Search and Data Mining,2020,We present a novel approach for a scalable framework for federated learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1020/wsdm.2020.00020
acm_00400,Query Processing with Scalable Constraints,J. Smith,Int. Conf. on Learning Representations,2016,We study the problem of query processing with scalable constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1400/iclr.2016.00400
acm_00473,Discriminative Differential Privacy: A Survey,"N. Johansson, R. Yamamoto",ACM Transactions on Knowledge Discovery from Data,2017,We introduce a new method for discriminative differential privacy: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1473/tkdd.2017.00473
acm_00483,Efficient Relation Extraction at Scale,"S. Cohen, S. Fischer, Y. Müller, S. Chen",Int. Conf. on Extending Database Technology,2003,This work addresses the problem of efficient relation extraction at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1483/edbt.2003.00483
acm_00125,A Context-Aware Framework for Collaborative Filtering,"E. Kim, A. Thompson",IEEE Int. Conf. on Data Mining,2005,"In this paper, we propose a context-aware framework for collaborative filtering. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1125/icdm.2005.00125
acm_00474,Contrastive Learning in the Wild,"M. Petrov, E. Ferreira, D. Nakamura",The VLDB Journal,2018,This work addresses the problem of contrastive learning in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1474/vldbj.2018.00474
acm_00392,Towards Probabilistic Matrix Factorisation,D. Taylor,IEEE Int. Conf. on Data Engineering,2008,We introduce a new method for towards probabilistic matrix factorisation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1392/icde.2008.00392
acm_00027,Entity Resolution: From Theory to Practice,"M. Harris, W. Silva, A. Lee, D. Nakamura",Artificial Intelligence,2003,We present a novel approach for entity resolution: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1027/aij.2003.00027
acm_00448,Learning-Based Active Learning,C. Tanaka,Data Mining and Knowledge Discovery,2017,"In this paper, we propose learning-based active learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1448/dmkd.2016.00448
acm_00284,Topic Modelling Over Web Data,P. White,North American Chapter of the ACL,2020,This work addresses the problem of topic modelling over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1284/naacl.2020.00284
acm_00261,Self-Supervised Learning via Financial Transactions,"G. Jackson, A. Wilson",IEEE Transactions on Knowledge and Data Engineering,2021,We present a novel approach for self-supervised learning via financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1261/tkde.2021.00261
acm_00425,A Context-Aware Framework for Explainable AI,"M. Nguyen, A. Thompson",IEEE Int. Conf. on Data Mining,2017,This work addresses the problem of a context-aware framework for explainable ai. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1425/icdm.2017.00425
acm_00461,Robust Self-Supervised Learning for Financial Transactions,"G. Jackson, A. Wilson",IEEE/CVF Conf. Computer Vision and Pattern Recognition,2005,We study the problem of robust self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1461/cvpr.2005.00461
acm_00314,Contrastive Learning Over IoT Sensor Data,"M. Petrov, D. Nakamura, E. Ferreira",North American Chapter of the ACL,2002,We study the problem of contrastive learning over iot sensor data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1314/naacl.2002.00314
acm_00130,Stream Processing with Generative Constraints,"A. Thompson, T. Dubois, M. Brown",Int. Conf. on Learning Representations,2010,We present a novel approach for stream processing with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1130/iclr.2010.00130
acm_00233,Discriminative Differential Privacy: A Survey,"R. Yamamoto, N. Johansson",ACM Transactions on Knowledge Discovery from Data,2017,We introduce a new method for discriminative differential privacy: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1233/tkdd.2017.00233
acm_00120,Query Processing: A Scalable Approach,J. Smith,Proc. VLDB Endowment,2000,This work addresses the problem of query processing: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1120/vldb.2000.00120
acm_00226,Data Profiling for Heterogeneous Sources,"R. Yamamoto, S. Chen, P. Thomas",Int. Joint Conf. on Artificial Intelligence,2010,We introduce a new method for data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1226/ijcai.2010.00226
acm_00386,Robust Data Profiling for Heterogeneous Sources,"R. Yamamoto, S. Chen, P. Thomas",Journal of Machine Learning Research,2002,"In this paper, we propose robust data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1386/jmlr.2002.00386
acm_00228,Multi-Source Record Linkage at Scale,D. Nakamura,ACM SIGIR Conf. on Research and Development in IR,2012,This work addresses the problem of multi-source record linkage at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1228/sigir.2012.00228
acm_00102,Data Augmentation: From Theory to Practice,"E. Ferreira, P. White, R. Yamamoto",Annual Meeting of the Association for Computational Linguistics,2006,We introduce a new method for data augmentation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1102/acl.2006.00102
acm_00178,Learning-Based Approximate Nearest Neighbour,"R. Rossi, J. Martinez, W. Silva",Data Mining and Knowledge Discovery,2010,We present a novel approach for learning-based approximate nearest neighbour. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1178/dmkd.2010.00178
acm_00245,A Context-Aware Framework for Collaborative Filtering,"E. Kim, A. Thompson",IEEE Int. Conf. on Data Mining,2005,"In this paper, we propose a context-aware framework for collaborative filtering. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1245/icdm.2005.00245
acm_00235,Weak Supervision with Adaptive Constraints,"P. Kumar, M. Brown, M. Nguyen, T. Dubois",Information Systems,2019,We study the problem of weak supervision with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1235/is.2019.00235
acm_00312,Matrix Factorisation: From Theory to Practice,D. Taylor,Annual Meeting of the Association for Computational Linguistics,2000,This work addresses the problem of matrix factorisation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1312/acl.2000.00312
acm_00286,Time Series Forecasting for Heterogeneous Sources,"Y. Müller, S. Chen, R. Rossi",Int. Joint Conf. on Artificial Intelligence,2022,This work addresses the problem of time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1286/ijcai.2022.00286
acm_00433,Learning-Based Differential Privacy,"N. Johansson, R. Yamamoto",Conf. on Empirical Methods in Natural Language Processing,2001,This work addresses the problem of learning-based differential privacy. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1433/emnlp.2001.00433
acm_00374,Data Integration Over IoT Sensor Data,"W. Silva, D. Nakamura, A. Wilson",North American Chapter of the ACL,2014,We introduce a new method for data integration over iot sensor data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1374/naacl.2014.00374
acm_00249,Scalable Indexing in the Wild,"S. Cohen, R. Rossi",Int. Conf. on Machine Learning,2009,"In this paper, we propose scalable indexing in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1249/icml.2009.00249
acm_00402,Graph Neural Networks: From Theory to Practice,"A. Wilson, P. White, Y. Müller",Annual Meeting of the Association for Computational Linguistics,2018,"In this paper, we propose graph neural networks: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1402/acl.2018.00402
acm_00289,Scalable Indexing: Challenges and Opportunities,"S. Cohen, R. Rossi",Int. World Wide Web Conference,2001,This work addresses the problem of scalable indexing: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1289/www.2001.00289
acm_00482,Towards Parallel Graph Neural Networks,"A. Wilson, P. White, Y. Müller",IEEE Int. Conf. on Data Engineering,2001,We study the problem of towards parallel graph neural networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1482/icde.2002.00482
acm_00288,Multi-Source Active Learning at Scale,C. Tanaka,ACM SIGIR Conf. on Research and Development in IR,2000,"In this paper, we propose multi-source active learning at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1288/sigir.2000.00288
acm_00117,Column Stores: From Theory to Practice,"O. O'Brien, M. Petrov",Artificial Intelligence,2021,We study the problem of column stores: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1117/aij.2021.00117
acm_00159,Duplicate Detection in the Wild,"J. Martinez, P. Thomas, O. O'Brien, A. Sharma",Int. Conf. on Machine Learning,2015,We present a novel approach for duplicate detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1159/icml.2015.00159
acm_00211,Truth Discovery for Social Networks,"I. Okonkwo, E. Ferreira, N. Johansson, P. White",ACM SIGMOD Int. Conf. Management of Data,2019,We introduce a new method for truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1211/sigmod.2019.00211
acm_00349,Information Extraction: Challenges and Opportunities,"L. Garcia, R. Rossi",Int. World Wide Web Conference,2013,We introduce a new method for information extraction: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1349/www.2013.00349
acm_00150,Text Classification: A Generative Approach,"M. Brown, T. Dubois, A. Thompson",Proc. VLDB Endowment,2006,We present a novel approach for text classification: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1150/vldb.2006.00150
acm_00035,A Adaptive Framework for Weak Supervision,"P. Kumar, M. Brown, M. Nguyen, T. Dubois",ICDM,2011,"In this paper, we propose a adaptive framework for weak supervision. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1035/icdm.2011.00035
acm_00185,A Context-Aware Framework for Explainable AI,"M. Nguyen, A. Thompson",IEEE Int. Conf. on Data Mining,2017,This work addresses the problem of a context-aware framework for explainable ai. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1185/icdm.2017.00185
acm_00447,Transfer Learning: From Theory to Practice,"L. Li, W. Silva, G. Jackson, D. Nakamura",Artificial Intelligence,2015,"In this paper, we propose transfer learning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1447/aij.2015.00447
acm_00470,A Generative Framework for Text Classification,"M. Brown, T. Dubois, A. Thompson",ACM Int. Conf. on Web Search and Data Mining,2014,This work addresses the problem of a generative framework for text classification. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1470/wsdm.2014.00470
acm_00064,Data Fusion: Challenegs and Opportunities,K. Johnson,ACM Symposium on Principles of Database Systems,2016,This work addresses the problem of data fusion: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1064/pods.2016.00064
acm_00460,Federated Learning with Scalable Constraints,T. Dubois,Int. Conf. on Learning Representations,2004,"In this paper, we propose federated learning with scalable constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1460/iclr.2004.00460
acm_00059,Anomaly Detection Over Open Government Data,"F. Patel, P. Thomas, J. Hernandez, J. Martinez",Knowledge and Information Systems,2011,We present a novel approach for anomaly detection over open government data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1059/kais.2011.00059
acm_00489,Scalable Indexing in the Wild,"S. Cohen, R. Rossi",Int. Conf. on Machine Learning,2009,"In this paper, we propose scalable indexing in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1489/icml.2009.00489
acm_00180,Federated Learning: A Scalable Approach,T. Dubois,Proc. VLDB Endowment,2012,"In this paper, we propose federated learning: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1180/vldb.2012.00180
acm_00012,Data Cleaning: From Theory to Practice,S. Chen,Annual Meeting of the Association for Computational Linguistics,2012,"In this paper, we propose data cleaning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1012/acl.2012.00012
acm_00199,Duplicate Detection: Challenges and Opportunities,"A. Sharma, P. Thomas, O. O'Brien, J. Martinez",Int. World Wide Web Conference,2007,We study the problem of duplicate detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1199/www.2007.00199
acm_00488,Multi-Source Active Learning: A Survey,C. Tanaka,Advances in Neural Information Processing Systems,2008,We present a novel approach for multi-source active learning: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1488/neurips.2008.00488
