entity_id,title,authors,venue,year,abstract,doi
10,Stream Processing with Generative Constraints,"Thompson, A. and Dubois, T. and Brown, M.",ICLR,2010,We present a novel approach for stream processing with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1010/iclr.2010.00010
11,Robust Truth Discovery for Social Networks,"Okonkwo, I. and Ferreira, E. and Johansson, N. and White, P.",CVPR,2011,We study the problem of robust truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1011/cvpr.2011.00011
12,Data Cleaning: From Theory to Practice,"Chen, S.",ACL,2012,"In this paper, we propose data cleaning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1012/acl.2012.00012
13,Learning-Based Data Wrangling,"Zhang, N. and Yamamoto, R.",EMNLP,2013,This work addresses the problem of learning-based data wrangling. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1013/emnlp.2013.00013
14,Data Integration Over IoT Sensor Data,"Silva, W. and Nakamura, D. and Wilson, A.",NAACL,2014,We introduce a new method for data integration over iot sensor data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1014/naacl.2014.00014
15,Knowledge Graph Embedding: A Adaptive Approach,"Anderson, E. and Brown, M. and Kim, E. and Dubois, T.",AAAI,2015,"In this paper, we propose knowledge graph embedding: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1015/aaai.2015.00015
16,Named Entity Recognition for Spatial Data,"Deng, C.",IJCAI,2016,"In this paper, we propose named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1016/ijcai.2016.00016
17,Towards Hybrid Sentiment Analysis,"Hernandez, J. and Petrov, M.",CIKM,2017,This work addresses the problem of towards hybrid sentiment analysis. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1017/cikm.2017.00017
18,Joint Approximate Nearest Neighbour at Scale,"Rossi, R. and Martinez, J. and Silva, W.",SIGIR,2018,We present a novel approach for joint approximate nearest neighbour at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1018/sigir.2018.00018
19,Anomaly Detection: Challenges and Opportunities,"Patel, F. and Thomas, P. and Hernandez, J. and Martinez, J.",WWW,2019,We present a novel approach for anomaly detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1019/www.2019.00019
20,A Scalable Framework for Federated Learning,"Dubois, T.",WSDM,2020,We present a novel approach for a scalable framework for federated learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1020/wsdm.2020.00020
21,Self-Supervised Learning via Financial Transactions,"Jackson, G. and Wilson, A.",TKDE,2021,We present a novel approach for self-supervised learning via financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1021/tkde.2021.00021
22,Improving Data Augmentation with Parallel Models,"Ferreira, E. and White, P. and Yamamoto, R.",TODS,2022,We introduce a new method for improving data augmentation with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1022/tods.2022.00022
23,Efficient LSH Hashing: A Survey,"Wang, R. and Müller, Y. and Garcia, L. and Chen, S.",TKDD,2023,"In this paper, we propose efficient lsh hashing: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1023/tkdd.2023.00023
24,Data Fusion in the Wild,"Johnson, K.",VLDBJ,2000,This work addresses the problem of data fusion in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1024/vldbj.2000.00024
25,Explainable AI with Context-Aware Constraints,"Nguyen, M. and Thompson, A.",IS,2001,We study the problem of explainable ai with context-aware constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1025/is.2001.00025
26,Robust Data Profiling for Heterogeneous Sources,"Yamamoto, R. and Chen, S. and Thomas, P.",JMLR,2002,"In this paper, we propose robust data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1026/jmlr.2002.00026
27,Entity Resolution: From Theory to Practice,"Harris, M. and Silva, W. and Lee, A. and Nakamura, D.",AIJ,2003,We present a novel approach for entity resolution: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1027/aij.2003.00027
28,Learning-Based Record Linkage,"Nakamura, D.",DMKD,2004,We study the problem of learning-based record linkage. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1028/dmkd.2004.00028
29,Information Extraction Over Streaming Data,"Garcia, L. and Rossi, R.",KAIS,2005,We study the problem of information extraction over streaming data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1029/kais.2005.00029
30,Text Classification: A Generative Approach,"Brown, M. and Dubois, T. and Thompson, A.",VLDB,2006,We present a novel approach for text classification: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1030/vldb.2006.00030
31,Dense Retrieval for Social Networks,"Kovacs, A. and Ferreira, E. and Zhang, N. and White, P.",SIGMOD,2007,We present a novel approach for dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1031/sigmod.2007.00031
32,Towards Probabilistic Matrix Factorisation,"Taylor, D.",ICDE,2008,We introduce a new method for towards probabilistic matrix factorisation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1032/icde.2008.00032
33,Discriminative Differential Privacy at Scale,"Johansson, N. and Yamamoto, R.",EDBT,2009,This work addresses the problem of discriminative differential privacy at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1033/edbt.2009.00033
34,Contrastive Learning: Challenges and Opportunities,"Petrov, M. and Nakamura, D. and Ferreira, E.",PODS,2010,This work addresses the problem of contrastive learning: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1034/pods.2010.00034
35,A Adaptive Framework for Weak Supervision,"Kumar, P. and Brown, M. and Nguyen, M. and Dubois, T.",ICDM,2011,"In this paper, we propose a adaptive framework for weak supervision. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1035/icdm.2011.00035
36,Bloom Filters via Spatial Data,"Martinez, J.",KDD,2012,We present a novel approach for bloom filters via spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1036/kdd.2012.00036
37,Improving Column Stores with Hybrid Models,"O'Brien, O. and Petrov, M.",SDM,2013,We study the problem of improving column stores with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1037/sdm.2013.00037
38,Joint Causal Inference: A Survey,"Thomas, P. and Martinez, J. and Petrov, M.",NeurIPS,2014,We introduce a new method for joint causal inference: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1038/neurips.2014.00038
39,Duplicate Detection in the Wild,"Sharma, A. and Thomas, P. and O'Brien, O. and Martinez, J.",ICML,2015,We present a novel approach for duplicate detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1039/icml.2015.00039
40,Query Processing with Scalable Constraints,"Smith, J.",ICLR,2016,We study the problem of query processing with scalable constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1040/iclr.2016.00040
41,Robust Schema Matching for Financial Transactions,"Lee, A. and Wilson, A.",CVPR,2017,"In this paper, we propose robust schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1041/cvpr.2017.00041
42,Graph Neural Networks: From Theory to Practice,"Wilson, A. and White, P. and Müller, Y.",ACL,2018,"In this paper, we propose graph neural networks: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1042/acl.2018.00042
43,Learning-Based Relation Extraction,"Fischer, S. and Müller, Y. and Cohen, S. and Chen, S.",EMNLP,2019,This work addresses the problem of learning-based relation extraction. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1043/emnlp.2019.00043
44,Topic Modelling Over Web Data,"White, P.",NAACL,2020,This work addresses the problem of topic modelling over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1044/naacl.2020.00044
45,Collaborative Filtering: A Context-Aware Approach,"Kim, E. and Thompson, A.",AAAI,2021,This work addresses the problem of collaborative filtering: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1045/aaai.2021.00045
46,Time Series Forecasting for Heterogeneous Sources,"Müller, Y. and Chen, S. and Rossi, R.",IJCAI,2022,This work addresses the problem of time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1046/ijcai.2022.00046
47,Towards Semi-Supervised Transfer Learning,"Li, L. and Silva, W. and Jackson, G. and Nakamura, D.",CIKM,2023,We introduce a new method for towards semi-supervised transfer learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1047/cikm.2023.00047
48,Multi-Source Active Learning at Scale,"Tanaka, C.",SIGIR,2000,"In this paper, we propose multi-source active learning at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1048/sigir.2000.00048
49,Scalable Indexing: Challenges and Opportunities,"Cohen, S. and Rossi, R.",WWW,2001,This work addresses the problem of scalable indexing: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1049/www.2001.00049
50,A Generative Framework for Stream Processing,"Thompson, A. and Dubois, T. and Brown, M.",WSDM,2002,We present a novel approach for a generative framework for stream processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1050/wsdm.2002.00050
51,Truth Discovery via Social Networks,"Okonkwo, I. and Ferreira, E. and Johansson, N. and White, P.",TKDE,2003,We study the problem of truth discovery via social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1051/tkde.2003.00051
52,Improving Data Cleaning with Probabilistic Models,"Chen, S.",TODS,2004,We introduce a new method for improving data cleaning with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1052/tods.2004.00052
53,Discriminative Data Wrangling: A Survey,"Zhang, N. and Yamamoto, R.",TKDD,2005,We present a novel approach for discriminative data wrangling: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1053/tkdd.2005.00053
54,Data Integration in the Wild,"Silva, W. and Nakamura, D. and Wilson, A.",VLDBJ,2006,"In this paper, we propose data integration in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1054/vldbj.2006.00054
55,Knowledge Graph Embedding with Adaptive Constraints,"Anderson, E. and Brown, M. and Kim, E. and Dubois, T.",IS,2007,"In this paper, we propose knowledge graph embedding with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1055/is.2007.00055
56,Robust Named Entity Recognition for Spatial Data,"Deng, C.",JMLR,2008,We study the problem of robust named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1056/jmlr.2008.00056
57,Sentiment Analysis: From Theory to Practice,"Hernandez, J. and Petrov, M.",AIJ,2009,"In this paper, we propose sentiment analysis: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1057/aij.2009.00057
58,Learning-Based Approximate Nearest Neighbour,"Rossi, R. and Martinez, J. and Silva, W.",DMKD,2010,We present a novel approach for learning-based approximate nearest neighbour. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1058/dmkd.2010.00058
59,Anomaly Detection Over Open Government Data,"Patel, F. and Thomas, P. and Hernandez, J. and Martinez, J.",KAIS,2011,We present a novel approach for anomaly detection over open government data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1059/kais.2011.00059
60,Federated Learning: A Scalable Approach,"Dubois, T.",VLDB,2012,"In this paper, we propose federated learning: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1060/vldb.2012.00060
61,Self-Supervised Learning for Financial Transactions,"Jackson, G. and Wilson, A.",SIGMOD,2013,We present a novel approach for self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1061/sigmod.2013.00061
62,Towards Parallel Data Augmentation,"Ferreira, E. and White, P. and Yamamoto, R.",ICDE,2014,"In this paper, we propose towards parallel data augmentation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1062/icde.2014.00062
63,Efficient LSH Hashing at Scale,"Wang, R. and Müller, Y. and Garcia, L. and Chen, S.",EDBT,2015,This work addresses the problem of efficient lsh hashing at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1063/edbt.2015.00063
64,Data Fusion: Challenges and Opportunities,"Johnson, K.",PODS,2016,This work addresses the problem of data fusion: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1064/pods.2016.00064
65,A Context-Aware Framework for Explainable AI,"Nguyen, M. and Thompson, A.",ICDM,2017,This work addresses the problem of a context-aware framework for explainable ai. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1065/icdm.2017.00065
66,Data Profiling via Heterogeneous Sources,"Yamamoto, R. and Chen, S. and Thomas, P.",KDD,2018,This work addresses the problem of data profiling via heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1066/kdd.2018.00066
67,Improving Entity Resolution with Semi-Supervised Models,"Harris, M. and Silva, W. and Lee, A. and Nakamura, D.",SDM,2019,We present a novel approach for improving entity resolution with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1067/sdm.2019.00067
68,Multi-Source Record Linkage: A Survey,"Nakamura, D.",NeurIPS,2020,We study the problem of multi-source record linkage: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1068/neurips.2020.00068
69,Information Extraction in the Wild,"Garcia, L. and Rossi, R.",ICML,2021,We present a novel approach for information extraction in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1069/icml.2021.00069
70,Text Classification with Generative Constraints,"Brown, M. and Dubois, T. and Thompson, A.",ICLR,2022,We present a novel approach for text classification with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1070/iclr.2022.00070
71,Robust Dense Retrieval for Social Networks,"Kovacs, A. and Ferreira, E. and Zhang, N. and White, P.",CVPR,2023,"In this paper, we propose robust dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1071/cvpr.2023.00071
72,Matrix Factorisation: From Theory to Practice,"Taylor, D.",ACL,2000,This work addresses the problem of matrix factorisation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1072/acl.2000.00072
73,Learning-Based Differential Privacy,"Johansson, N. and Yamamoto, R.",EMNLP,2001,This work addresses the problem of learning-based differential privacy. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1073/emnlp.2001.00073
74,Contrastive Learning Over IoT Sensor Data,"Petrov, M. and Nakamura, D. and Ferreira, E.",NAACL,2002,We study the problem of contrastive learning over iot sensor data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1074/naacl.2002.00074
75,Weak Supervision: A Adaptive Approach,"Kumar, P. and Brown, M. and Nguyen, M. and Dubois, T.",AAAI,2003,We study the problem of weak supervision: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1075/aaai.2003.00075
76,Bloom Filters for Spatial Data,"Martinez, J.",IJCAI,2004,We introduce a new method for bloom filters for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1076/ijcai.2004.00076
77,Towards Hybrid Column Stores,"O'Brien, O. and Petrov, M.",CIKM,2005,"In this paper, we propose towards hybrid column stores. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1077/cikm.2005.00077
78,Joint Causal Inference at Scale,"Thomas, P. and Martinez, J. and Petrov, M.",SIGIR,2006,We present a novel approach for joint causal inference at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1078/sigir.2006.00078
79,Duplicate Detection: Challenges and Opportunities,"Sharma, A. and Thomas, P. and O'Brien, O. and Martinez, J.",WWW,2007,We study the problem of duplicate detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1079/www.2007.00079
80,A Scalable Framework for Query Processing,"Smith, J.",WSDM,2008,This work addresses the problem of a scalable framework for query processing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1080/wsdm.2008.00080
81,Schema Matching via Financial Transactions,"Lee, A. and Wilson, A.",TKDE,2009,We present a novel approach for schema matching via financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1081/tkde.2009.00081
82,Improving Graph Neural Networks with Parallel Models,"Wilson, A. and White, P. and Müller, Y.",TODS,2010,We study the problem of improving graph neural networks with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1082/tods.2010.00082
83,Efficient Relation Extraction: A Survey,"Fischer, S. and Müller, Y. and Cohen, S. and Chen, S.",TKDD,2011,We study the problem of efficient relation extraction: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1083/tkdd.2011.00083
84,Topic Modelling in the Wild,"White, P.",VLDBJ,2012,We study the problem of topic modelling in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1084/vldbj.2012.00084
85,Collaborative Filtering with Context-Aware Constraints,"Kim, E. and Thompson, A.",IS,2013,We introduce a new method for collaborative filtering with context-aware constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1085/is.2013.00085
86,Robust Time Series Forecasting for Heterogeneous Sources,"Müller, Y. and Chen, S. and Rossi, R.",JMLR,2014,This work addresses the problem of robust time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1086/jmlr.2014.00086
87,Transfer Learning: From Theory to Practice,"Li, L. and Silva, W. and Jackson, G. and Nakamura, D.",AIJ,2015,"In this paper, we propose transfer learning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1087/aij.2015.00087
88,Learning-Based Active Learning,"Tanaka, C.",DMKD,2016,"In this paper, we propose learning-based active learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1088/dmkd.2016.00088
89,Scalable Indexing Over Streaming Data,"Cohen, S. and Rossi, R.",KAIS,2017,This work addresses the problem of scalable indexing over streaming data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1089/kais.2017.00089
90,Stream Processing: A Generative Approach,"Thompson, A. and Dubois, T. and Brown, M.",VLDB,2018,We present a novel approach for stream processing: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1090/vldb.2018.00090
91,Truth Discovery for Social Networks,"Okonkwo, I. and Ferreira, E. and Johansson, N. and White, P.",SIGMOD,2019,We introduce a new method for truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1091/sigmod.2019.00091
92,Towards Probabilistic Data Cleaning,"Chen, S.",ICDE,2020,We study the problem of towards probabilistic data cleaning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1092/icde.2020.00092
93,Discriminative Data Wrangling at Scale,"Zhang, N. and Yamamoto, R.",EDBT,2021,We introduce a new method for discriminative data wrangling at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1093/edbt.2021.00093
94,Data Integration: Challenges and Opportunities,"Silva, W. and Nakamura, D. and Wilson, A.",PODS,2022,This work addresses the problem of data integration: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1094/pods.2022.00094
95,A Adaptive Framework for Knowledge Graph Embedding,"Anderson, E. and Brown, M. and Kim, E. and Dubois, T.",ICDM,2023,We present a novel approach for a adaptive framework for knowledge graph embedding. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1095/icdm.2023.00095
96,Named Entity Recognition via Spatial Data,"Deng, C.",KDD,2000,This work addresses the problem of named entity recognition via spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1096/kdd.2000.00096
97,Improving Sentiment Analysis with Hybrid Models,"Hernandez, J. and Petrov, M.",SDM,2001,We present a novel approach for improving sentiment analysis with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1097/sdm.2001.00097
98,Joint Approximate Nearest Neighbour: A Survey,"Rossi, R. and Martinez, J. and Silva, W.",NeurIPS,2002,We introduce a new method for joint approximate nearest neighbour: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1098/neurips.2002.00098
99,Anomaly Detection in the Wild,"Patel, F. and Thomas, P. and Hernandez, J. and Martinez, J.",ICML,2003,We study the problem of anomaly detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1099/icml.2003.00099
100,Federated Learning with Scalable Constraints,"Dubois, T.",ICLR,2004,"In this paper, we propose federated learning with scalable constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1100/iclr.2004.00100
101,Robust Self-Supervised Learning for Financial Transactions,"Jackson, G. and Wilson, A.",CVPR,2005,We study the problem of robust self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1101/cvpr.2005.00101
102,Data Augmentation: From Theory to Practice,"Ferreira, E. and White, P. and Yamamoto, R.",ACL,2006,We introduce a new method for data augmentation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1102/acl.2006.00102
103,Learning-Based LSH Hashing,"Wang, R. and Müller, Y. and Garcia, L. and Chen, S.",EMNLP,2007,"In this paper, we propose learning-based lsh hashing. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1103/emnlp.2007.00103
104,Data Fusion Over Web Data,"Johnson, K.",NAACL,2008,We study the problem of data fusion over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1104/naacl.2008.00104
105,Explainable AI: A Context-Aware Approach,"Nguyen, M. and Thompson, A.",AAAI,2009,We present a novel approach for explainable ai: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1105/aaai.2009.00105
106,Data Profiling for Heterogeneous Sources,"Yamamoto, R. and Chen, S. and Thomas, P.",IJCAI,2010,We introduce a new method for data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1106/ijcai.2010.00106
107,Towards Semi-Supervised Entity Resolution,"Harris, M. and Silva, W. and Lee, A. and Nakamura, D.",CIKM,2011,We study the problem of towards semi-supervised entity resolution. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1107/cikm.2011.00107
108,Multi-Source Record Linkage at Scale,"Nakamura, D.",SIGIR,2012,This work addresses the problem of multi-source record linkage at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1108/sigir.2012.00108
109,Information Extraction: Challenges and Opportunities,"Garcia, L. and Rossi, R.",WWW,2013,We introduce a new method for information extraction: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1109/www.2013.00109
110,A Generative Framework for Text Classification,"Brown, M. and Dubois, T. and Thompson, A.",WSDM,2014,This work addresses the problem of a generative framework for text classification. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1110/wsdm.2014.00110
111,Dense Retrieval via Social Networks,"Kovacs, A. and Ferreira, E. and Zhang, N. and White, P.",TKDE,2015,We present a novel approach for dense retrieval via social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1111/tkde.2015.00111
112,Improving Matrix Factorisation with Probabilistic Models,"Taylor, D.",TODS,2016,We introduce a new method for improving matrix factorisation with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1112/tods.2016.00112
113,Discriminative Differential Privacy: A Survey,"Johansson, N. and Yamamoto, R.",TKDD,2017,We introduce a new method for discriminative differential privacy: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1113/tkdd.2017.00113
114,Contrastive Learning in the Wild,"Petrov, M. and Nakamura, D. and Ferreira, E.",VLDBJ,2018,This work addresses the problem of contrastive learning in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1114/vldbj.2018.00114
115,Weak Supervision with Adaptive Constraints,"Kumar, P. and Brown, M. and Nguyen, M. and Dubois, T.",IS,2019,We study the problem of weak supervision with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1115/is.2019.00115
