left_source,left_id,right_source,right_id,entity_id,label
dblp,dblp_00043,scholar,scholar_00043,43,1
acm,acm_00043,scholar,scholar_00043,43,1
dblp,dblp_00044,acm,acm_00044,44,1
dblp,dblp_00044,scholar,scholar_00044,44,1
acm,acm_00044,scholar,scholar_00044,44,1
dblp,dblp_00045,acm,acm_00045,45,1
dblp,dblp_00045,scholar,scholar_00045,45,1
acm,acm_00045,scholar,scholar_00045,45,1
dblp,dblp_00046,acm,acm_00046,46,1
dblp,dblp_00046,scholar,scholar_00046,46,1
acm,acm_00046,scholar,scholar_00046,46,1
dblp,dblp_00047,acm,acm_00047,47,1
dblp,dblp_00047,scholar,scholar_00047,47,1
acm,acm_00047,scholar,scholar_00047,47,1
acm,acm_00048,scholar,scholar_00048,48,1
dblp,dblp_00049,scholar,scholar_00049,49,1
dblp,dblp_00051,acm,acm_00051,51,1
dblp,dblp_00051,scholar,scholar_00051,51,1
acm,acm_00051,scholar,scholar_00051,51,1
dblp,dblp_00052,scholar,scholar_00052,52,1
dblp,dblp_00053,acm,acm_00053,53,1
acm,acm_00054,scholar,scholar_00054,54,1
dblp,dblp_00055,acm,acm_00055,55,1
dblp,dblp_00055,scholar,scholar_00055,55,1
acm,acm_00055,scholar,scholar_00055,55,1
dblp,dblp_00056,acm,acm_00056,56,1
dblp,dblp_00056,scholar,scholar_00056,56,1
acm,acm_00056,scholar,scholar_00056,56,1
dblp,dblp_00057,acm,acm_00057,57,1
dblp,dblp_00059,acm,acm_00059,59,1
dblp,dblp_00060,acm,acm_00060,60,1
dblp,dblp_00060,scholar,scholar_00060,60,1
acm,acm_00060,scholar,scholar_00060,60,1
dblp,dblp_00061,scholar,scholar_00061,61,1
dblp,dblp_00062,acm,acm_00062,62,1
dblp,dblp_00064,acm,acm_00064,64,1
dblp,dblp_00064,scholar,scholar_00064,64,1
acm,acm_00064,scholar,scholar_00064,64,1
dblp,dblp_00065,acm,acm_00065,65,1
dblp,dblp_00065,scholar,scholar_00065,65,1
acm,acm_00065,scholar,scholar_00065,65,1
dblp,dblp_00066,acm,acm_00066,66,1
dblp,dblp_00067,acm,acm_00067,67,1
dblp,dblp_00068,acm,acm_00068,68,1
dblp,dblp_00068,scholar,scholar_00068,68,1
acm,acm_00068,scholar,scholar_00068,68,1
dblp,dblp_00069,acm,acm_00069,69,1
dblp,dblp_00069,scholar,scholar_00069,69,1
acm,acm_00069,scholar,scholar_00069,69,1
acm,acm_00071,scholar,scholar_00071,71,1
dblp,dblp_00072,acm,acm_00072,72,1
dblp,dblp_00073,scholar,scholar_00073,73,1
dblp,dblp_00074,acm,acm_00074,74,1
dblp,dblp_00075,acm,acm_00075,75,1
dblp,dblp_00076,acm,acm_00076,76,1
dblp,dblp_00076,scholar,scholar_00076,76,1
acm,acm_00076,scholar,scholar_00076,76,1
dblp,dblp_00077,acm,acm_00077,77,1
dblp,dblp_00077,scholar,scholar_00077,77,1
acm,acm_00077,scholar,scholar_00077,77,1
dblp,dblp_00078,acm,acm_00078,78,1
dblp,dblp_00078,scholar,scholar_00078,78,1
acm,acm_00078,scholar,scholar_00078,78,1
dblp,dblp_00079,acm,acm_00079,79,1
dblp,dblp_00079,scholar,scholar_00079,79,1
acm,acm_00079,scholar,scholar_00079,79,1
dblp,dblp_00080,acm,acm_00080,80,1
dblp,dblp_00081,acm,acm_00081,81,1
dblp,dblp_00081,scholar,scholar_00081,81,1
acm,acm_00081,scholar,scholar_00081,81,1
dblp,dblp_00082,acm,acm_00082,82,1
dblp,dblp_00082,scholar,scholar_00082,82,1
acm,acm_00082,scholar,scholar_00082,82,1
dblp,dblp_00083,scholar,scholar_00083,83,1
dblp,dblp_00085,scholar,scholar_00085,85,1
dblp,dblp_00086,acm,acm_00086,86,1
dblp,dblp_00088,acm,acm_00088,88,1
dblp,dblp_00088,scholar,scholar_00088,88,1
acm,acm_00088,scholar,scholar_00088,88,1
dblp,dblp_00090,acm,acm_00090,90,1
dblp,dblp_00090,scholar,scholar_00090,90,1
acm,acm_00090,scholar,scholar_00090,90,1
dblp,dblp_00091,acm,acm_00091,91,1
dblp,dblp_00091,scholar,scholar_00091,91,1
acm,acm_00091,scholar,scholar_00091,91,1
dblp,dblp_00092,acm,acm_00092,92,1
dblp,dblp_00093,acm,acm_00093,93,1
dblp,dblp_00093,scholar,scholar_00093,93,1
acm,acm_00093,scholar,scholar_00093,93,1
dblp,dblp_00094,acm,acm_00094,94,1
dblp,dblp_00094,scholar,scholar_00094,94,1
acm,acm_00094,scholar,scholar_00094,94,1
dblp,dblp_00095,acm,acm_00095,95,1
dblp,dblp_00095,scholar,scholar_00095,95,1
acm,acm_00095,scholar,scholar_00095,95,1
dblp,dblp_00096,acm,acm_00096,96,1
dblp,dblp_00097,acm,acm_00097,97,1
dblp,dblp_00097,scholar,scholar_00097,97,1
acm,acm_00097,scholar,scholar_00097,97,1
dblp,dblp_00098,acm,acm_00098,98,1
dblp,dblp_00098,scholar,scholar_00098,98,1
acm,acm_00098,scholar,scholar_00098,98,1
dblp,dblp_00100,acm,acm_00100,100,1
dblp,dblp_00101,acm,acm_00101,101,1
acm,acm_00102,scholar,scholar_00102,102,1
dblp,dblp_00103,acm,acm_00103,103,1
dblp,dblp_00103,scholar,scholar_00103,103,1
acm,acm_00103,scholar,scholar_00103,103,1
dblp,dblp_00105,acm,acm_00105,105,1
dblp,dblp_00105,scholar,scholar_00105,105,1
acm,acm_00105,scholar,scholar_00105,105,1
dblp,dblp_00107,acm,acm_00107,107,1
dblp,dblp_00107,scholar,scholar_00107,107,1
acm,acm_00107,scholar,scholar_00107,107,1
dblp,dblp_00108,scholar,scholar_00108,108,1
dblp,dblp_00109,acm,acm_00109,109,1
dblp,dblp_00110,acm,acm_00110,110,1
dblp,dblp_00110,scholar,scholar_00110,110,1
acm,acm_00110,scholar,scholar_00110,110,1
dblp,dblp_00111,acm,acm_00111,111,1
dblp,dblp_00111,scholar,scholar_00111,111,1
acm,acm_00111,scholar,scholar_00111,111,1
dblp,dblp_00112,acm,acm_00112,112,1
dblp,dblp_00113,acm,acm_00113,113,1
dblp,dblp_00113,scholar,scholar_00113,113,1
acm,acm_00113,scholar,scholar_00113,113,1
dblp,dblp_00114,acm,acm_00114,114,1
dblp,dblp_00114,scholar,scholar_00114,114,1
acm,acm_00114,scholar,scholar_00114,114,1
dblp,dblp_00115,acm,acm_00115,115,1
dblp,dblp_00115,scholar,scholar_00115,115,1
acm,acm_00115,scholar,scholar_00115,115,1
dblp,dblp_00116,acm,acm_00116,116,1
dblp,dblp_00117,acm,acm_00117,117,1
dblp,dblp_00117,scholar,scholar_00117,117,1
acm,acm_00117,scholar,scholar_00117,117,1
dblp,dblp_00119,acm,acm_00119,119,1
dblp,dblp_00120,acm,acm_00120,120,1
dblp,dblp_00122,acm,acm_00122,122,1
dblp,dblp_00122,scholar,scholar_00122,122,1
acm,acm_00122,scholar,scholar_00122,122,1
dblp,dblp_00123,acm,acm_00123,123,1
dblp,dblp_00124,acm,acm_00124,124,1
dblp,dblp_00124,scholar,scholar_00124,124,1
acm,acm_00124,scholar,scholar_00124,124,1
dblp,dblp_00125,acm,acm_00125,125,1
dblp,dblp_00125,scholar,scholar_00125,125,1
acm,acm_00125,scholar,scholar_00125,125,1
dblp,dblp_00126,acm,acm_00126,126,1
dblp,dblp_00127,acm,acm_00127,127,1
dblp,dblp_00128,acm,acm_00128,128,1
dblp,dblp_00129,acm,acm_00129,129,1
dblp,dblp_00129,scholar,scholar_00129,129,1
acm,acm_00129,scholar,scholar_00129,129,1
dblp,dblp_00131,acm,acm_00131,131,1
dblp,dblp_00131,scholar,scholar_00131,131,1
acm,acm_00131,scholar,scholar_00131,131,1
dblp,dblp_00133,acm,acm_00133,133,1
dblp,dblp_00133,scholar,scholar_00133,133,1
acm,acm_00133,scholar,scholar_00133,133,1
dblp,dblp_00134,acm,acm_00134,134,1
dblp,dblp_00134,scholar,scholar_00134,134,1
acm,acm_00134,scholar,scholar_00134,134,1
dblp,dblp_00135,scholar,scholar_00135,135,1
dblp,dblp_00136,acm,acm_00136,136,1
dblp,dblp_00136,scholar,scholar_00136,136,1
acm,acm_00136,scholar,scholar_00136,136,1
dblp,dblp_00137,acm,acm_00137,137,1
dblp,dblp_00137,scholar,scholar_00137,137,1
acm,acm_00137,scholar,scholar_00137,137,1
dblp,dblp_00138,acm,acm_00138,138,1
dblp,dblp_00139,acm,acm_00139,139,1
dblp,dblp_00139,scholar,scholar_00139,139,1
acm,acm_00139,scholar,scholar_00139,139,1
dblp,dblp_00140,acm,acm_00140,140,1
dblp,dblp_00141,acm,acm_00141,141,1
dblp,dblp_00142,acm,acm_00142,142,1
dblp,dblp_00142,scholar,scholar_00142,142,1
acm,acm_00142,scholar,scholar_00142,142,1
dblp,dblp_00143,acm,acm_00143,143,1
dblp,dblp_00143,scholar,scholar_00143,143,1
acm,acm_00143,scholar,scholar_00143,143,1
dblp,dblp_00145,scholar,scholar_00145,145,1
dblp,dblp_00146,scholar,scholar_00146,146,1
dblp,dblp_00147,acm,acm_00147,147,1
dblp,dblp_00148,acm,acm_00148,148,1
dblp,dblp_00148,scholar,scholar_00148,148,1
acm,acm_00148,scholar,scholar_00148,148,1
acm,acm_00149,scholar,scholar_00149,149,1
dblp,dblp_00150,acm,acm_00150,150,1
dblp,dblp_00152,acm,acm_00152,152,1
dblp,dblp_00152,scholar,scholar_00152,152,1
acm,acm_00152,scholar,scholar_00152,152,1
dblp,dblp_00153,acm,acm_00153,153,1
dblp,dblp_00153,scholar,scholar_00153,153,1
acm,acm_00153,scholar,scholar_00153,153,1
dblp,dblp_00154,acm,acm_00154,154,1
dblp,dblp_00154,scholar,scholar_00154,154,1
acm,acm_00154,scholar,scholar_00154,154,1
dblp,dblp_00155,acm,acm_00155,155,1
dblp,dblp_00155,scholar,scholar_00155,155,1
acm,acm_00155,scholar,scholar_00155,155,1
dblp,dblp_00156,acm,acm_00156,156,1
dblp,dblp_00156,scholar,scholar_00156,156,1
acm,acm_00156,scholar,scholar_00156,156,1
dblp,dblp_00157,acm,acm_00157,157,1
dblp,dblp_00157,scholar,scholar_00157,157,1
acm,acm_00157,scholar,scholar_00157,157,1
dblp,dblp_00158,acm,acm_00158,158,1
dblp,dblp_00159,acm,acm_00159,159,1
dblp,dblp_00159,scholar,scholar_00159,159,1
acm,acm_00159,scholar,scholar_00159,159,1
acm,acm_00160,scholar,scholar_00160,160,1
dblp,dblp_00161,acm,acm_00161,161,1
dblp,dblp_00161,scholar,scholar_00161,161,1
acm,acm_00161,scholar,scholar_00161,161,1
dblp,dblp_00162,acm,acm_00162,162,1
dblp,dblp_00162,scholar,scholar_00162,162,1
acm,acm_00162,scholar,scholar_00162,162,1
dblp,dblp_00163,acm,acm_00163,163,1
dblp,dblp_00163,scholar,scholar_00163,163,1
acm,acm_00163,scholar,scholar_00163,163,1
dblp,dblp_00164,acm,acm_00164,164,1
dblp,dblp_00165,acm,acm_00165,165,1
dblp,dblp_00165,scholar,scholar_00165,165,1
acm,acm_00165,scholar,scholar_00165,165,1
dblp,dblp_00166,acm,acm_00166,166,1
dblp,dblp_00166,scholar,scholar_00166,166,1
acm,acm_00166,scholar,scholar_00166,166,1
dblp,dblp_00167,acm,acm_00167,167,1
dblp,dblp_00168,acm,acm_00168,168,1
dblp,dblp_00168,scholar,scholar_00168,168,1
acm,acm_00168,scholar,scholar_00168,168,1
dblp,dblp_00170,acm,acm_00170,170,1
dblp,dblp_00171,scholar,scholar_00171,171,1
dblp,dblp_00172,scholar,scholar_00172,172,1
dblp,dblp_00173,acm,acm_00173,173,1
dblp,dblp_00175,scholar,scholar_00175,175,1
dblp,dblp_00176,acm,acm_00176,176,1
dblp,dblp_00176,scholar,scholar_00176,176,1
acm,acm_00176,scholar,scholar_00176,176,1
dblp,dblp_00177,acm,acm_00177,177,1
dblp,dblp_00178,acm,acm_00178,178,1
dblp,dblp_00179,acm,acm_00179,179,1
dblp,dblp_00179,scholar,scholar_00179,179,1
acm,acm_00179,scholar,scholar_00179,179,1
dblp,dblp_00180,acm,acm_00180,180,1
dblp,dblp_00181,scholar,scholar_00181,181,1
dblp,dblp_00182,acm,acm_00182,182,1
dblp,dblp_00182,scholar,scholar_00182,182,1
acm,acm_00182,scholar,scholar_00182,182,1
dblp,dblp_00183,acm,acm_00183,183,1
dblp,dblp_00183,scholar,scholar_00183,183,1
acm,acm_00183,scholar,scholar_00183,183,1
dblp,dblp_00184,acm,acm_00184,184,1
dblp,dblp_00185,acm,acm_00185,185,1
dblp,dblp_00185,scholar,scholar_00185,185,1
acm,acm_00185,scholar,scholar_00185,185,1
dblp,dblp_00186,scholar,scholar_00186,186,1
dblp,dblp_00190,acm,acm_00190,190,1
dblp,dblp_00190,scholar,scholar_00190,190,1
acm,acm_00190,scholar,scholar_00190,190,1
acm,acm_00191,scholar,scholar_00191,191,1
dblp,dblp_00192,scholar,scholar_00192,192,1
dblp,dblp_00193,acm,acm_00193,193,1
dblp,dblp_00193,scholar,scholar_00193,193,1
acm,acm_00193,scholar,scholar_00193,193,1
dblp,dblp_00195,acm,acm_00195,195,1
dblp,dblp_00196,acm,acm_00196,196,1
dblp,dblp_00196,scholar,scholar_00196,196,1
acm,acm_00196,scholar,scholar_00196,196,1
dblp,dblp_00197,acm,acm_00197,197,1
dblp,dblp_00199,acm,acm_00199,199,1
dblp,dblp_00200,acm,acm_00200,200,1
dblp,dblp_00201,acm,acm_00201,201,1
dblp,dblp_00201,scholar,scholar_00201,201,1
acm,acm_00201,scholar,scholar_00201,201,1
dblp,dblp_00202,scholar,scholar_00202,202,1
dblp,dblp_00203,acm,acm_00203,203,1
dblp,dblp_00203,scholar,scholar_00203,203,1
acm,acm_00203,scholar,scholar_00203,203,1
dblp,dblp_00204,scholar,scholar_00204,204,1
dblp,dblp_00205,acm,acm_00205,205,1
dblp,dblp_00205,scholar,scholar_00205,205,1
acm,acm_00205,scholar,scholar_00205,205,1
dblp,dblp_00206,scholar,scholar_00206,206,1
dblp,dblp_00207,acm,acm_00207,207,1
dblp,dblp_00207,scholar,scholar_00207,207,1
acm,acm_00207,scholar,scholar_00207,207,1
dblp,dblp_00208,acm,acm_00208,208,1
dblp,dblp_00208,scholar,scholar_00208,208,1
acm,acm_00208,scholar,scholar_00208,208,1
dblp,dblp_00210,acm,acm_00210,210,1
dblp,dblp_00211,acm,acm_00211,211,1
dblp,dblp_00211,scholar,scholar_00211,211,1
acm,acm_00211,scholar,scholar_00211,211,1
dblp,dblp_00212,scholar,scholar_00212,212,1
dblp,dblp_00215,acm,acm_00215,215,1
dblp,dblp_00216,scholar,scholar_00216,216,1
dblp,dblp_00217,acm,acm_00217,217,1
dblp,dblp_00217,scholar,scholar_00217,217,1
acm,acm_00217,scholar,scholar_00217,217,1
dblp,dblp_00218,acm,acm_00218,218,1
dblp,dblp_00218,scholar,scholar_00218,218,1
acm,acm_00218,scholar,scholar_00218,218,1
dblp,dblp_00219,acm,acm_00219,219,1
dblp,dblp_00219,scholar,scholar_00219,219,1
acm,acm_00219,scholar,scholar_00219,219,1
dblp,dblp_00220,acm,acm_00220,220,1
dblp,dblp_00221,acm,acm_00221,221,1
dblp,dblp_00221,scholar,scholar_00221,221,1
acm,acm_00221,scholar,scholar_00221,221,1
dblp,dblp_00222,acm,acm_00222,222,1
dblp,dblp_00223,acm,acm_00223,223,1
dblp,dblp_00223,scholar,scholar_00223,223,1
acm,acm_00223,scholar,scholar_00223,223,1
dblp,dblp_00224,acm,acm_00224,224,1
dblp,dblp_00224,scholar,scholar_00224,224,1
acm,acm_00224,scholar,scholar_00224,224,1
dblp,dblp_00225,acm,acm_00225,225,1
dblp,dblp_00225,scholar,scholar_00225,225,1
acm,acm_00225,scholar,scholar_00225,225,1
dblp,dblp_00226,acm,acm_00226,226,1
dblp,dblp_00228,acm,acm_00228,228,1
dblp,dblp_00228,scholar,scholar_00228,228,1
acm,acm_00228,scholar,scholar_00228,228,1
dblp,dblp_00229,acm,acm_00229,229,1
dblp,dblp_00230,acm,acm_00230,230,1
dblp,dblp_00230,scholar,scholar_00230,230,1
acm,acm_00230,scholar,scholar_00230,230,1
dblp,dblp_00231,acm,acm_00231,231,1
dblp,dblp_00231,scholar,scholar_00231,231,1
acm,acm_00231,scholar,scholar_00231,231,1
dblp,dblp_00232,scholar,scholar_00232,232,1
dblp,dblp_00233,acm,acm_00233,233,1
dblp,dblp_00234,acm,acm_00234,234,1
dblp,dblp_00236,acm,acm_00236,236,1
dblp,dblp_00236,scholar,scholar_00236,236,1
acm,acm_00236,scholar,scholar_00236,236,1
dblp,dblp_00237,acm,acm_00237,237,1
dblp,dblp_00237,scholar,scholar_00237,237,1
acm,acm_00237,scholar,scholar_00237,237,1
dblp,dblp_00238,acm,acm_00238,238,1
dblp,dblp_00238,scholar,scholar_00238,238,1
acm,acm_00238,scholar,scholar_00238,238,1
dblp,dblp_00239,acm,acm_00239,239,1
dblp,dblp_00240,scholar,scholar_00240,240,1
dblp,dblp_00241,acm,acm_00241,241,1
dblp,dblp_00242,acm,acm_00242,242,1
acm,acm_00243,scholar,scholar_00243,243,1
dblp,dblp_00244,acm,acm_00244,244,1
dblp,dblp_00244,scholar,scholar_00244,244,1
acm,acm_00244,scholar,scholar_00244,244,1
dblp,dblp_00245,acm,acm_00245,245,1
dblp,dblp_00246,acm,acm_00246,246,1
dblp,dblp_00246,scholar,scholar_00246,246,1
acm,acm_00246,scholar,scholar_00246,246,1
dblp,dblp_00247,acm,acm_00247,247,1
dblp,dblp_00248,acm,acm_00248,248,1
dblp,dblp_00249,acm,acm_00249,249,1
dblp,dblp_00250,scholar,scholar_00250,250,1
dblp,dblp_00251,acm,acm_00251,251,1
dblp,dblp_00251,scholar,scholar_00251,251,1
acm,acm_00251,scholar,scholar_00251,251,1
dblp,dblp_00253,acm,acm_00253,253,1
dblp,dblp_00253,scholar,scholar_00253,253,1
acm,acm_00253,scholar,scholar_00253,253,1
dblp,dblp_00254,acm,acm_00254,254,1
dblp,dblp_00254,scholar,scholar_00254,254,1
acm,acm_00254,scholar,scholar_00254,254,1
dblp,dblp_00256,acm,acm_00256,256,1
dblp,dblp_00256,scholar,scholar_00256,256,1
acm,acm_00256,scholar,scholar_00256,256,1
dblp,dblp_00258,acm,acm_00258,258,1
dblp,dblp_00258,scholar,scholar_00258,258,1
acm,acm_00258,scholar,scholar_00258,258,1
dblp,dblp_00259,scholar,scholar_00259,259,1
dblp,dblp_00260,acm,acm_00260,260,1
dblp,dblp_00261,acm,acm_00261,261,1
dblp,dblp_00261,scholar,scholar_00261,261,1
acm,acm_00261,scholar,scholar_00261,261,1
dblp,dblp_00262,scholar,scholar_00262,262,1
dblp,dblp_00263,acm,acm_00263,263,1
dblp,dblp_00263,scholar,scholar_00263,263,1
acm,acm_00263,scholar,scholar_00263,263,1
dblp,dblp_00264,scholar,scholar_00264,264,1
dblp,dblp_00265,acm,acm_00265,265,1
dblp,dblp_00265,scholar,scholar_00265,265,1
acm,acm_00265,scholar,scholar_00265,265,1
dblp,dblp_00266,acm,acm_00266,266,1
dblp,dblp_00266,scholar,scholar_00266,266,1
acm,acm_00266,scholar,scholar_00266,266,1
dblp,dblp_00267,acm,acm_00267,267,1
dblp,dblp_00268,acm,acm_00268,268,1
dblp,dblp_00268,scholar,scholar_00268,268,1
acm,acm_00268,scholar,scholar_00268,268,1
dblp,dblp_00269,scholar,scholar_00269,269,1
acm,acm_00270,scholar,scholar_00270,270,1
dblp,dblp_00271,acm,acm_00271,271,1
dblp,dblp_00273,acm,acm_00273,273,1
dblp,dblp_00273,scholar,scholar_00273,273,1
acm,acm_00273,scholar,scholar_00273,273,1
dblp,dblp_00274,acm,acm_00274,274,1
dblp,dblp_00274,scholar,scholar_00274,274,1
acm,acm_00274,scholar,scholar_00274,274,1
dblp,dblp_00275,acm,acm_00275,275,1
dblp,dblp_00275,scholar,scholar_00275,275,1
acm,acm_00275,scholar,scholar_00275,275,1
dblp,dblp_00277,scholar,scholar_00277,277,1
dblp,dblp_00278,acm,acm_00278,278,1
dblp,dblp_00278,scholar,scholar_00278,278,1
acm,acm_00278,scholar,scholar_00278,278,1
dblp,dblp_00279,scholar,scholar_00279,279,1
dblp,dblp_00280,scholar,scholar_00280,280,1
dblp,dblp_00281,scholar,scholar_00281,281,1
dblp,dblp_00282,acm,acm_00282,282,1
dblp,dblp_00282,scholar,scholar_00282,282,1
acm,acm_00282,scholar,scholar_00282,282,1
dblp,dblp_00283,scholar,scholar_00283,283,1
dblp,dblp_00284,acm,acm_00284,284,1
dblp,dblp_00284,scholar,scholar_00284,284,1
acm,acm_00284,scholar,scholar_00284,284,1
dblp,dblp_00285,acm,acm_00285,285,1
dblp,dblp_00286,acm,acm_00286,286,1
dblp,dblp_00286,scholar,scholar_00286,286,1
acm,acm_00286,scholar,scholar_00286,286,1
dblp,dblp_00288,acm,acm_00288,288,1
dblp,dblp_00288,scholar,scholar_00288,288,1
acm,acm_00288,scholar,scholar_00288,288,1
dblp,dblp_00289,acm,acm_00289,289,1
dblp,dblp_00289,scholar,scholar_00289,289,1
acm,acm_00289,scholar,scholar_00289,289,1
dblp,dblp_00290,acm,acm_00290,290,1
dblp,dblp_00290,scholar,scholar_00290,290,1
acm,acm_00290,scholar,scholar_00290,290,1
dblp,dblp_00291,scholar,scholar_00291,291,1
dblp,dblp_00292,scholar,scholar_00292,292,1
acm,acm_00293,scholar,scholar_00293,293,1
dblp,dblp_00294,acm,acm_00294,294,1
dblp,dblp_00294,scholar,scholar_00294,294,1
acm,acm_00294,scholar,scholar_00294,294,1
dblp,dblp_00295,acm,acm_00295,295,1
dblp,dblp_00295,scholar,scholar_00295,295,1
acm,acm_00295,scholar,scholar_00295,295,1
dblp,dblp_00296,acm,acm_00296,296,1
dblp,dblp_00297,acm,acm_00297,297,1
dblp,dblp_00298,scholar,scholar_00298,298,1
dblp,dblp_00299,acm,acm_00299,299,1
dblp,dblp_00299,scholar,scholar_00299,299,1
acm,acm_00299,scholar,scholar_00299,299,1
dblp,dblp_00300,acm,acm_00300,300,1
dblp,dblp_00300,scholar,scholar_00300,300,1
acm,acm_00300,scholar,scholar_00300,300,1
dblp,dblp_00301,acm,acm_00301,301,1
dblp,dblp_00301,scholar,scholar_00301,301,1
acm,acm_00301,scholar,scholar_00301,301,1
dblp,dblp_00302,acm,acm_00302,302,1
dblp,dblp_00302,scholar,scholar_00302,302,1
acm,acm_00302,scholar,scholar_00302,302,1
dblp,dblp_00303,scholar,scholar_00303,303,1
dblp,dblp_00304,scholar,scholar_00304,304,1
dblp,dblp_00306,acm,acm_00306,306,1
dblp,dblp_00307,scholar,scholar_00307,307,1
acm,acm_00308,scholar,scholar_00308,308,1
dblp,dblp_00309,acm,acm_00309,309,1
dblp,dblp_00309,scholar,scholar_00309,309,1
acm,acm_00309,scholar,scholar_00309,309,1
dblp,dblp_00310,acm,acm_00310,310,1
dblp,dblp_00310,scholar,scholar_00310,310,1
acm,acm_00310,scholar,scholar_00310,310,1
dblp,dblp_00311,acm,acm_00311,311,1
dblp,dblp_00312,acm,acm_00312,312,1
acm,acm_00313,scholar,scholar_00313,313,1
dblp,dblp_00314,acm,acm_00314,314,1
dblp,dblp_00314,scholar,scholar_00314,314,1
acm,acm_00314,scholar,scholar_00314,314,1
dblp,dblp_00315,acm,acm_00315,315,1
dblp,dblp_00316,scholar,scholar_00316,316,1
dblp,dblp_00317,scholar,scholar_00317,317,1
dblp,dblp_00318,acm,acm_00318,318,1
dblp,dblp_00318,scholar,scholar_00318,318,1
acm,acm_00318,scholar,scholar_00318,318,1
dblp,dblp_00319,acm,acm_00319,319,1
dblp,dblp_00319,scholar,scholar_00319,319,1
acm,acm_00319,scholar,scholar_00319,319,1
dblp,dblp_00320,scholar,scholar_00320,320,1
